"","RNIMOL.Index","RNIMOS.Index","TPX.Index","RNIMOAG.Index","RNIMOAV.Index","JPY.BGNL.Curncy","SPR.Index","SPJGBV.Index"
"2017-05-01",0.54,0.56,1539.77,0.7,0.39,111.75,554.2198,1.63
"2017-05-02",1.21,1.29,1550.3,1.23,1.21,112.13,554.6863,1.64
"2017-05-03",NA,NA,NA,NA,NA,112.35,553.7744,1.64
"2017-05-04",NA,NA,NA,NA,NA,112.53,553.9586,NA
"2017-05-05",NA,NA,NA,NA,NA,112.71,556.4016,NA
"2017-05-08",3.52,3.61,1585.86,3.7,3.36,112.99,556.2123,1.8
"2017-05-09",3.22,3.49,1581.77,3.57,2.97,114.18,555.6269,1.68
"2017-05-10",3.46,3.71,1585.19,4.02,2.99,114.06,556.5219,1.81
"2017-05-11",3.59,3.77,1586.86,4.17,3.08,113.81,555.0594,1.84
"2017-05-12",3.23,3.23,1580.71,3.99,2.5,113.38,554.0009,1.71
"2017-05-15",3.2,3.07,1580,4.27,2.13,113.6,556.7686,1.79
"2017-05-16",3.48,3.37,1584.23,4.67,2.31,113.23,556.3785,1.73
"2017-05-17",2.93,2.97,1575.82,4.56,1.37,111.41,546.032,1.78
"2017-05-18",1.52,1.88,1555.01,3.6,-0.37,110.97,547.9131,1.85
"2017-05-19",1.86,2.04,1559.73,3.62,0.22,111.26,551.7136,1.89
"2017-05-22",2.37,2.6,1567.65,4.13,0.75,111.14,554.594,1.92
"2017-05-23",2.15,2.72,1565.22,4.16,0.39,111.65,555.6264,1.84
"2017-05-24",2.78,3.39,1575.11,4.73,1.08,112.03,556.9818,1.85
"2017-05-25",3.05,3.41,1578.42,5.16,1.12,111.74,559.2861,1.8
"2017-05-26",2.52,2.59,1569.42,4.75,0.39,111.33,559.3453,1.67
"2017-05-29",2.56,2.63,1570.21,4.9,0.33,111.3,NA,1.71
"2017-05-30",2.69,2.93,1572.67,5.13,0.42,110.79,558.4935,1.68
"2017-05-31",2.42,2.67,1568.37,4.96,0.04,110.67,558.2701,1.61
"2017-06-01",1.09,1.33,1586.14,1.15,1.1,111.38,562.97,1.55
"2017-06-02",2.78,2.59,1612.2,2.2,3.32,110.4,565.0255,1.41
"2017-06-05",2.64,2.68,1609.97,2.84,2.44,110.46,564.1132,1.43
"2017-06-06",1.79,1.66,1596.44,1.9,1.64,109.42,562.5324,1.47
"2017-06-07",1.76,2.1,1597.09,1.78,1.84,109.39,563.345,1.46
"2017-06-08",1.32,1.75,1590.41,1.21,1.56,110.1,564.0419,1.77
"2017-06-09",1.42,1.73,1591.66,1.18,1.75,110.32,563.9064,1.59
"2017-06-12",1.37,1.75,1591.55,0.86,2,109.69,563.4093,1.64
"2017-06-13",1.47,1.94,1593.51,0.88,2.2,110.08,566.0024,1.66
"2017-06-14",1.38,1.82,1591.77,0.84,2.05,109.09,565.2195,1.8
"2017-06-15",1.13,1.65,1588.09,1.09,1.34,110.95,563.8051,1.65
"2017-06-16",1.68,1.91,1596.04,1.47,1.96,110.88,563.8651,1.55
"2017-06-19",2.31,2.71,1606.07,2.46,2.28,111.42,568.4276,1.5
"2017-06-20",2.98,3.72,1617.25,3.22,2.95,111.46,564.3651,1.49
"2017-06-21",2.63,3.32,1611.56,2.94,2.53,111.37,563.7368,1.45
"2017-06-22",2.53,3.44,1610.38,2.93,2.39,111.32,563.605,1.39
"2017-06-23",2.64,3.23,1611.34,2.89,2.56,111.28,564.7272,1.36
"2017-06-26",2.65,3.62,1612.21,3.19,2.4,111.69,565.0693,1.46
"2017-06-27",3.06,4.11,1619.02,3.39,3.05,112.38,560.5075,1.46
"2017-06-28",2.83,3.27,1614.37,2.44,3.36,112.22,565.6475,1.51
"2017-06-29",3.39,4.26,1624.07,2.84,4.21,111.97,560.9063,1.41
"2017-06-30",2.58,3.62,1611.9,1.74,3.75,112.39,561.7467,1.64
"2017-07-03",0.13,0.27,1614.41,-0.01,0.31,113.4,563.33,1.55
"2017-07-04",-0.11,-0.49,1609.7,-0.75,0.42,113.18,NA,NA
"2017-07-05",0.41,0.22,1618.63,-0.34,1.1,113.22,563.7969,1.49
"2017-07-06",0.18,0.25,1615.53,-0.44,0.81,113.31,558.3199,1.72
"2017-07-07",-0.3,-0.44,1607.06,-0.93,0.28,113.92,562.1078,1.71
"2017-07-10",0.22,0.12,1615.48,-0.32,0.72,114.16,562.3693,1.65
