RNIMOL Index,,,RNIMOS Index,,,TPX Index,,,RNIMOAG Index,,,RNIMOAV Index,,,JPY BGNL Curncy,,,SPR Index,,,SPJGBV Index,
Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST
2017/05/01,0.54,,2017/05/01,0.56,,2017/05/01,1539.77,,2017/05/01,0.7,,2017/05/01,0.39,,2017/05/01,111.75,,2017/05/01,554.2198,,2017/05/01,1.63
2017/5/2,1.21,,2017/5/2,1.29,,2017/5/2,1550.3,,2017/5/2,1.23,,2017/5/2,1.21,,2017/5/2,112.13,,2017/5/2,554.6863,,2017/5/2,1.64
2017/5/8,3.52,,2017/5/8,3.61,,2017/5/8,1585.86,,2017/5/8,3.7,,2017/5/8,3.36,,2017/5/3,112.35,,2017/5/3,553.7744,,2017/5/3,1.64
2017/5/9,3.22,,2017/5/9,3.49,,2017/5/9,1581.77,,2017/5/9,3.57,,2017/5/9,2.97,,2017/5/4,112.53,,2017/5/4,553.9586,,2017/5/8,1.8
2017/5/10,3.46,,2017/5/10,3.71,,2017/5/10,1585.19,,2017/5/10,4.02,,2017/5/10,2.99,,2017/5/5,112.71,,2017/5/5,556.4016,,2017/5/9,1.68
2017/5/11,3.59,,2017/5/11,3.77,,2017/5/11,1586.86,,2017/5/11,4.17,,2017/5/11,3.08,,2017/5/8,112.99,,2017/5/8,556.2123,,2017/5/10,1.81
2017/5/12,3.23,,2017/5/12,3.23,,2017/5/12,1580.71,,2017/5/12,3.99,,2017/5/12,2.5,,2017/5/9,114.18,,2017/5/9,555.6269,,2017/5/11,1.84
2017/5/15,3.2,,2017/5/15,3.07,,2017/5/15,1580,,2017/5/15,4.27,,2017/5/15,2.13,,2017/5/10,114.06,,2017/5/10,556.5219,,2017/5/12,1.71
2017/5/16,3.48,,2017/5/16,3.37,,2017/5/16,1584.23,,2017/5/16,4.67,,2017/5/16,2.31,,2017/5/11,113.81,,2017/5/11,555.0594,,2017/5/15,1.79
2017/5/17,2.93,,2017/5/17,2.97,,2017/5/17,1575.82,,2017/5/17,4.56,,2017/5/17,1.37,,2017/5/12,113.38,,2017/5/12,554.0009,,2017/5/16,1.73
2017/5/18,1.52,,2017/5/18,1.88,,2017/5/18,1555.01,,2017/5/18,3.6,,2017/5/18,-0.37,,2017/5/15,113.6,,2017/5/15,556.7686,,2017/5/17,1.78
2017/5/19,1.86,,2017/5/19,2.04,,2017/5/19,1559.73,,2017/5/19,3.62,,2017/5/19,0.22,,2017/5/16,113.23,,2017/5/16,556.3785,,2017/5/18,1.85
2017/5/22,2.37,,2017/5/22,2.6,,2017/5/22,1567.65,,2017/5/22,4.13,,2017/5/22,0.75,,2017/5/17,111.41,,2017/5/17,546.032,,2017/5/19,1.89
2017/5/23,2.15,,2017/5/23,2.72,,2017/5/23,1565.22,,2017/5/23,4.16,,2017/5/23,0.39,,2017/5/18,110.97,,2017/5/18,547.9131,,2017/5/22,1.92
2017/5/24,2.78,,2017/5/24,3.39,,2017/5/24,1575.11,,2017/5/24,4.73,,2017/5/24,1.08,,2017/5/19,111.26,,2017/5/19,551.7136,,2017/5/23,1.84
2017/5/25,3.05,,2017/5/25,3.41,,2017/5/25,1578.42,,2017/5/25,5.16,,2017/5/25,1.12,,2017/5/22,111.14,,2017/5/22,554.594,,2017/5/24,1.85
2017/5/26,2.52,,2017/5/26,2.59,,2017/5/26,1569.42,,2017/5/26,4.75,,2017/5/26,0.39,,2017/5/23,111.65,,2017/5/23,555.6264,,2017/5/25,1.8
2017/5/29,2.56,,2017/5/29,2.63,,2017/5/29,1570.21,,2017/5/29,4.9,,2017/5/29,0.33,,2017/5/24,112.03,,2017/5/24,556.9818,,2017/5/26,1.67
2017/5/30,2.69,,2017/5/30,2.93,,2017/5/30,1572.67,,2017/5/30,5.13,,2017/5/30,0.42,,2017/5/25,111.74,,2017/5/25,559.2861,,2017/5/29,1.71
2017/5/31,2.42,,2017/5/31,2.67,,2017/5/31,1568.37,,2017/5/31,4.96,,2017/5/31,0.04,,2017/5/26,111.33,,2017/5/26,559.3453,,2017/5/30,1.68
2017/6/1,1.09,,2017/6/1,1.33,,2017/6/1,1586.14,,2017/6/1,1.15,,2017/6/1,1.1,,2017/5/29,111.3,,2017/5/30,558.4935,,2017/5/31,1.61
2017/6/2,2.78,,2017/6/2,2.59,,2017/6/2,1612.2,,2017/6/2,2.2,,2017/6/2,3.32,,2017/5/30,110.79,,2017/5/31,558.2701,,2017/6/1,1.55
2017/6/5,2.64,,2017/6/5,2.68,,2017/6/5,1609.97,,2017/6/5,2.84,,2017/6/5,2.44,,2017/5/31,110.67,,2017/6/1,562.97,,2017/6/2,1.41
2017/6/6,1.79,,2017/6/6,1.66,,2017/6/6,1596.44,,2017/6/6,1.9,,2017/6/6,1.64,,2017/6/1,111.38,,2017/6/2,565.0255,,2017/6/5,1.43
2017/6/7,1.76,,2017/6/7,2.1,,2017/6/7,1597.09,,2017/6/7,1.78,,2017/6/7,1.84,,2017/6/2,110.4,,2017/6/5,564.1132,,2017/6/6,1.47
2017/6/8,1.32,,2017/6/8,1.75,,2017/6/8,1590.41,,2017/6/8,1.21,,2017/6/8,1.56,,2017/6/5,110.46,,2017/6/6,562.5324,,2017/6/7,1.46
2017/6/9,1.42,,2017/6/9,1.73,,2017/6/9,1591.66,,2017/6/9,1.18,,2017/6/9,1.75,,2017/6/6,109.42,,2017/6/7,563.345,,2017/6/8,1.77
